gid,ctlabel,borocode,boroname,ct2010,boroct2010,cdeligibil,ntacode,ntaname,puma
340,796.01,3,Brooklyn,79601,3079601,E,BK60,Prospect Lefferts Gardens-Wingate,4011
156,272,3,Brooklyn,27200,3027200,E,BK28,Bensonhurst West,4017
157,273,3,Brooklyn,27300,3027300,I,BK35,Stuyvesant Heights,4003
158,274,3,Brooklyn,27400,3027400,E,BK28,Bensonhurst West,4017
159,276,3,Brooklyn,27600,3027600,E,BK28,Bensonhurst West,4017
160,278,3,Brooklyn,27800,3027800,E,BK28,Bensonhurst West,4017
161,279,3,Brooklyn,27900,3027900,E,BK35,Stuyvesant Heights,4003
162,284,3,Brooklyn,28400,3028400,E,BK28,Bensonhurst West,4017
163,285.01,3,Brooklyn,28501,3028501,I,BK78,Bushwick South,4002
164,288,3,Brooklyn,28800,3028800,E,BK28,Bensonhurst West,4017
165,290,3,Brooklyn,29000,3029000,E,BK28,Bensonhurst West,4017
166,291,3,Brooklyn,29100,3029100,E,BK35,Stuyvesant Heights,4003
167,293,3,Brooklyn,29300,3029300,E,BK35,Stuyvesant Heights,4003
168,295,3,Brooklyn,29500,3029500,I,BK35,Stuyvesant Heights,4003
169,296,3,Brooklyn,29600,3029600,E,BK28,Bensonhurst West,4017
170,297,3,Brooklyn,29700,3029700,I,BK61,Crown Heights North,4006
171,298,3,Brooklyn,29800,3029800,E,BK29,Bensonhurst East,4017
341,800,3,Brooklyn,80000,3080000,I,BK60,Prospect Lefferts Gardens-Wingate,4011
172,300,3,Brooklyn,30000,3030000,E,BK29,Bensonhurst East,4017
173,302,3,Brooklyn,30200,3030200,E,BK29,Bensonhurst East,4017
174,305,3,Brooklyn,30500,3030500,E,BK61,Crown Heights North,4006
175,309,3,Brooklyn,30900,3030900,E,BK61,Crown Heights North,4006
176,311,3,Brooklyn,31100,3031100,E,BK61,Crown Heights North,4006
177,317.01,3,Brooklyn,31701,3031701,E,BK61,Crown Heights North,4006
178,323,3,Brooklyn,32300,3032300,E,BK63,Crown Heights South,4011
179,326,3,Brooklyn,32600,3032600,E,BK21,Seagate-Coney Island,4018
180,329,3,Brooklyn,32900,3032900,E,BK60,Prospect Lefferts Gardens-Wingate,4011
181,331,3,Brooklyn,33100,3033100,E,BK63,Crown Heights South,4011
182,333,3,Brooklyn,33300,3033300,E,BK63,Crown Heights South,4011
183,335,3,Brooklyn,33500,3033500,E,BK63,Crown Heights South,4011
184,337,3,Brooklyn,33700,3033700,E,BK61,Crown Heights North,4006
185,339,3,Brooklyn,33900,3033900,E,BK61,Crown Heights North,4006
186,341,3,Brooklyn,34100,3034100,E,BK61,Crown Heights North,4006
201,415,3,Brooklyn,41500,3041500,E,BK78,Bushwick South,4002
187,342,3,Brooklyn,34200,3034200,E,BK21,Seagate-Coney Island,4018
188,363,3,Brooklyn,36300,3036300,E,BK79,Ocean Hill,4007
189,365.02,3,Brooklyn,36502,3036502,E,BK79,Ocean Hill,4007
190,388,3,Brooklyn,38800,3038800,E,BK25,Homecrest,4016
191,396,3,Brooklyn,39600,3039600,I,BK25,Homecrest,4016
192,397,3,Brooklyn,39700,3039700,E,BK78,Bushwick South,4002
193,399,3,Brooklyn,39900,3039900,E,BK78,Bushwick South,4002
194,400,3,Brooklyn,40000,3040000,E,BK29,Bensonhurst East,4017
195,401,3,Brooklyn,40100,3040100,E,BK78,Bushwick South,4002
196,404,3,Brooklyn,40400,3040400,I,BK29,Bensonhurst East,4017
197,406,3,Brooklyn,40600,3040600,E,BK29,Bensonhurst East,4017
198,408,3,Brooklyn,40800,3040800,E,BK29,Bensonhurst East,4017
199,413,3,Brooklyn,41300,3041300,E,BK78,Bushwick South,4002
202,417,3,Brooklyn,41700,3041700,E,BK78,Bushwick South,4002
203,418,3,Brooklyn,41800,3041800,E,BK25,Homecrest,4016
204,419,3,Brooklyn,41900,3041900,E,BK78,Bushwick South,4002
205,420,3,Brooklyn,42000,3042000,E,BK25,Homecrest,4016
206,421,3,Brooklyn,42100,3042100,E,BK78,Bushwick South,4002
207,426,3,Brooklyn,42600,3042600,E,BK29,Bensonhurst East,4017
208,427,3,Brooklyn,42700,3042700,E,BK77,Bushwick North,4002
209,428,3,Brooklyn,42800,3042800,E,BK29,Bensonhurst East,4017
210,429,3,Brooklyn,42900,3042900,E,BK77,Bushwick North,4002
211,430,3,Brooklyn,43000,3043000,E,BK29,Bensonhurst East,4017
212,431,3,Brooklyn,43100,3043100,E,BK77,Bushwick North,4002
213,432,3,Brooklyn,43200,3043200,E,BK29,Bensonhurst East,4017
214,433,3,Brooklyn,43300,3043300,E,BK77,Bushwick North,4002
215,434,3,Brooklyn,43400,3043400,E,BK29,Bensonhurst East,4017
216,435,3,Brooklyn,43500,3043500,E,BK77,Bushwick North,4002
217,436,3,Brooklyn,43600,3043600,E,BK29,Bensonhurst East,4017
218,437,3,Brooklyn,43700,3043700,E,BK77,Bushwick North,4002
219,439,3,Brooklyn,43900,3043900,E,BK77,Bushwick North,4002
220,440,3,Brooklyn,44000,3044000,I,BK46,Ocean Parkway South,4014
221,441,3,Brooklyn,44100,3044100,E,BK77,Bushwick North,4002
222,442,3,Brooklyn,44200,3044200,E,BK46,Ocean Parkway South,4014
223,443,3,Brooklyn,44300,3044300,E,BK77,Bushwick North,4002
224,444,3,Brooklyn,44400,3044400,E,BK46,Ocean Parkway South,4014
225,446,3,Brooklyn,44600,3044600,E,BK88,Borough Park,4014
226,452,3,Brooklyn,45200,3045200,I,BK46,Ocean Parkway South,4014
227,454,3,Brooklyn,45400,3045400,I,BK46,Ocean Parkway South,4014
228,456,3,Brooklyn,45600,3045600,E,BK43,Midwood,4015
229,458,3,Brooklyn,45800,3045800,I,BK43,Midwood,4015
230,460,3,Brooklyn,46000,3046000,I,BK42,Flatbush,4015
231,464,3,Brooklyn,46400,3046400,E,BK88,Borough Park,4014
247,510.01,3,Brooklyn,51001,3051001,E,BK42,Flatbush,4015
232,470,3,Brooklyn,47000,3047000,E,BK88,Borough Park,4014
233,472,3,Brooklyn,47200,3047200,E,BK88,Borough Park,4014
234,474,3,Brooklyn,47400,3047400,E,BK88,Borough Park,4014
235,476,3,Brooklyn,47600,3047600,E,BK88,Borough Park,4014
236,481,3,Brooklyn,48100,3048100,I,BK90,East Williamsburg,4001
237,486,3,Brooklyn,48600,3048600,E,BK41,Kensington-Ocean Parkway,4014
238,488,3,Brooklyn,48800,3048800,E,BK41,Kensington-Ocean Parkway,4014
239,495,3,Brooklyn,49500,3049500,I,BK90,East Williamsburg,4001
240,496,3,Brooklyn,49600,3049600,E,BK41,Kensington-Ocean Parkway,4014
241,498,3,Brooklyn,49800,3049800,E,BK41,Kensington-Ocean Parkway,4014
242,499,3,Brooklyn,49900,3049900,E,BK76,Greenpoint,4001
243,503,3,Brooklyn,50300,3050300,E,BK90,East Williamsburg,4001
244,505,3,Brooklyn,50500,3050500,E,BK90,East Williamsburg,4001
245,507,3,Brooklyn,50700,3050700,E,BK75,Bedford,4003
246,508.01,3,Brooklyn,50801,3050801,E,BK42,Flatbush,4015
248,514,3,Brooklyn,51400,3051400,E,BK42,Flatbush,4015
249,516.01,3,Brooklyn,51601,3051601,E,BK42,Flatbush,4015
250,516.02,3,Brooklyn,51602,3051602,E,BK42,Flatbush,4015
251,517,3,Brooklyn,51700,3051700,I,BK73,North Side-South Side,4001
252,518,3,Brooklyn,51800,3051800,I,BK42,Flatbush,4015
253,520,3,Brooklyn,52000,3052000,E,BK42,Flatbush,4015
254,526,3,Brooklyn,52600,3052600,I,BK42,Flatbush,4015
255,528,3,Brooklyn,52800,3052800,I,BK42,Flatbush,4015
256,530,3,Brooklyn,53000,3053000,E,BK43,Midwood,4015
257,531,3,Brooklyn,53100,3053100,E,BK75,Bedford,4003
258,532,3,Brooklyn,53200,3053200,I,BK43,Midwood,4015
259,533,3,Brooklyn,53300,3053300,E,BK72,Williamsburg,4001
260,534,3,Brooklyn,53400,3053400,E,BK43,Midwood,4015
261,538,3,Brooklyn,53800,3053800,E,BK43,Midwood,4015
262,542,3,Brooklyn,54200,3054200,E,BK43,Midwood,4015
263,544,3,Brooklyn,54400,3054400,E,BK43,Midwood,4015
375,898,3,Brooklyn,89800,3089800,E,BK81,Brownsville,4007
264,548,3,Brooklyn,54800,3054800,I,BK44,Madison,4016
265,550,3,Brooklyn,55000,3055000,E,BK44,Madison,4016
266,552,3,Brooklyn,55200,3055200,E,BK44,Madison,4016
267,553,3,Brooklyn,55300,3055300,E,BK73,North Side-South Side,4001
268,558,3,Brooklyn,55800,3055800,E,BK44,Madison,4016
269,560,3,Brooklyn,56000,3056000,E,BK44,Madison,4016
270,562,3,Brooklyn,56200,3056200,I,BK44,Madison,4016
271,564,3,Brooklyn,56400,3056400,I,BK44,Madison,4016
272,565,3,Brooklyn,56500,3056500,I,BK76,Greenpoint,4001
273,566,3,Brooklyn,56600,3056600,I,BK44,Madison,4016
274,568,3,Brooklyn,56800,3056800,I,BK44,Madison,4016
275,569,3,Brooklyn,56900,3056900,I,BK76,Greenpoint,4001
276,570,3,Brooklyn,57000,3057000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
277,571,3,Brooklyn,57100,3057100,E,BK76,Greenpoint,4001
291,600,3,Brooklyn,60000,3060000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
278,572,3,Brooklyn,57200,3057200,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
279,573,3,Brooklyn,57300,3057300,I,BK76,Greenpoint,4001
280,574,3,Brooklyn,57400,3057400,I,BK44,Madison,4016
281,576,3,Brooklyn,57600,3057600,I,BK44,Madison,4016
282,578,3,Brooklyn,57800,3057800,I,BK44,Madison,4016
283,580,3,Brooklyn,58000,3058000,E,BK44,Madison,4016
284,586,3,Brooklyn,58600,3058600,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
285,591,3,Brooklyn,59100,3059100,E,BK76,Greenpoint,4001
286,592,3,Brooklyn,59200,3059200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
287,593,3,Brooklyn,59300,3059300,E,BK76,Greenpoint,4001
288,594.01,3,Brooklyn,59401,3059401,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
289,594.02,3,Brooklyn,59402,3059402,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
290,596,3,Brooklyn,59600,3059600,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
292,610.03,3,Brooklyn,61003,3061003,E,BK19,Brighton Beach,4018
293,612,3,Brooklyn,61200,3061200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
294,632,3,Brooklyn,63200,3063200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016
295,636,3,Brooklyn,63600,3063600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
296,638,3,Brooklyn,63800,3063800,I,BK44,Madison,4016
297,640,3,Brooklyn,64000,3064000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
298,646,3,Brooklyn,64600,3064600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
299,648,3,Brooklyn,64800,3064800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
300,650,3,Brooklyn,65000,3065000,I,BK58,Flatlands,4009
301,652,3,Brooklyn,65200,3065200,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
302,654,3,Brooklyn,65400,3065400,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
303,656,3,Brooklyn,65600,3065600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
304,658,3,Brooklyn,65800,3065800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
305,660,3,Brooklyn,66000,3066000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
306,670,3,Brooklyn,67000,3067000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
307,672,3,Brooklyn,67200,3067200,I,BK58,Flatlands,4009
308,674,3,Brooklyn,67400,3067400,I,BK58,Flatlands,4009
309,676,3,Brooklyn,67600,3067600,I,BK58,Flatlands,4009
310,678,3,Brooklyn,67800,3067800,I,BK58,Flatlands,4009
311,680,3,Brooklyn,68000,3068000,I,BK58,Flatlands,4009
312,682,3,Brooklyn,68200,3068200,I,BK58,Flatlands,4009
313,686,3,Brooklyn,68600,3068600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009
314,688,3,Brooklyn,68800,3068800,I,BK58,Flatlands,4009
315,690,3,Brooklyn,69000,3069000,I,BK58,Flatlands,4009
316,692,3,Brooklyn,69200,3069200,I,BK58,Flatlands,4009
317,728,3,Brooklyn,72800,3072800,I,BK58,Flatlands,4009
318,734,3,Brooklyn,73400,3073400,I,BK58,Flatlands,4009
319,736,3,Brooklyn,73600,3073600,E,BK58,Flatlands,4009
320,738,3,Brooklyn,73800,3073800,I,BK58,Flatlands,4009
321,740,3,Brooklyn,74000,3074000,I,BK58,Flatlands,4009
322,742,3,Brooklyn,74200,3074200,I,BK58,Flatlands,4009
323,744,3,Brooklyn,74400,3074400,I,BK58,Flatlands,4009
324,746,3,Brooklyn,74600,3074600,I,BK58,Flatlands,4009
325,748,3,Brooklyn,74800,3074800,I,BK43,Midwood,4015
326,750,3,Brooklyn,75000,3075000,E,BK43,Midwood,4015
327,752,3,Brooklyn,75200,3075200,I,BK43,Midwood,4015
328,754,3,Brooklyn,75400,3075400,I,BK43,Midwood,4015
329,756,3,Brooklyn,75600,3075600,I,BK43,Midwood,4015
330,760,3,Brooklyn,76000,3076000,I,BK43,Midwood,4015
331,762,3,Brooklyn,76200,3076200,E,BK43,Midwood,4015
332,764,3,Brooklyn,76400,3076400,I,BK42,Flatbush,4015
333,768,3,Brooklyn,76800,3076800,E,BK43,Midwood,4015
334,770,3,Brooklyn,77000,3077000,E,BK42,Flatbush,4015
335,774,3,Brooklyn,77400,3077400,I,BK42,Flatbush,4015
336,784,3,Brooklyn,78400,3078400,I,BK91,East Flatbush-Farragut,4010
337,786,3,Brooklyn,78600,3078600,E,BK42,Flatbush,4015
338,790,3,Brooklyn,79000,3079000,E,BK95,Erasmus,4010
339,792,3,Brooklyn,79200,3079200,E,BK95,Erasmus,4010
342,804,3,Brooklyn,80400,3080400,E,BK60,Prospect Lefferts Gardens-Wingate,4011
343,806,3,Brooklyn,80600,3080600,E,BK60,Prospect Lefferts Gardens-Wingate,4011
344,810,3,Brooklyn,81000,3081000,E,BK60,Prospect Lefferts Gardens-Wingate,4011
345,814,3,Brooklyn,81400,3081400,I,BK91,East Flatbush-Farragut,4010
346,818,3,Brooklyn,81800,3081800,E,BK95,Erasmus,4010
347,824,3,Brooklyn,82400,3082400,E,BK95,Erasmus,4010
348,826,3,Brooklyn,82600,3082600,E,BK95,Erasmus,4010
349,828,3,Brooklyn,82800,3082800,E,BK95,Erasmus,4010
350,832,3,Brooklyn,83200,3083200,I,BK91,East Flatbush-Farragut,4010
351,836,3,Brooklyn,83600,3083600,I,BK91,East Flatbush-Farragut,4010
352,838,3,Brooklyn,83800,3083800,I,BK91,East Flatbush-Farragut,4010
353,840,3,Brooklyn,84000,3084000,I,BK91,East Flatbush-Farragut,4010
354,846,3,Brooklyn,84600,3084600,I,BK96,Rugby-Remsen Village,4010
355,848,3,Brooklyn,84800,3084800,I,BK96,Rugby-Remsen Village,4010
356,850,3,Brooklyn,85000,3085000,I,BK91,East Flatbush-Farragut,4010
